ID,Country,Carrier,TrafficType,ClickDate,Device,Browser,OS,RefererUrl,UserIp,ConversionStatus,ConversionDate,ConversionPayOut,publisherId,subPublisherId,advertiserCampaignId,Fraud
0,IN,2.0,M,2017-08-21 00:00:01,Google,chrome,Android,,42.111.171.131,False,,0.0,69,,6555.0,0.0
1,TH,27.0,A,2017-08-21 00:00:01,Generic,46.0.2490.76,Android,,1.46.235.65,False,,0.0,646,,7510.0,0.0
2,IN,4.0,M,2017-08-21 00:00:01,Samsung,chromium,Android,,49.15.91.224,False,,0.0,301,,12696.0,0.0
3,PH,-1.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,115.42.126.86,False,,0.0,242,,735.0,0.0
4,MX,-1.0,,2017-08-21 00:00:01,Generic,chrome,Android,,187.161.11.97,False,,0.0,1306,,7802.0,0.0
5,BD,125.0,,2017-08-21 00:00:01,Samsung,chrome,Android,,103.242.21.244,False,,0.0,1306,,2025.0,0.0
6,MX,50.0,M,2017-08-21 00:00:01,Zonda,chrome,Android,,187.237.239.5,False,,0.0,55,,12688.0,0.0
7,IN,2.0,A,2017-08-21 00:00:01,Motorola,chrome,Android,,42.106.70.46,False,,0.0,1044,,8786.0,0.0
8,BR,218.0,,2017-08-21 00:00:01,Generic,android_webkit,Android,ads.advancemobile.net,189.0.123.228,False,,0.0,1031,,4901.0,0.0
9,IQ,-1.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,overtraff.com,93.187.32.6,False,,0.0,282,,5893.0,0.0
10,TH,-1.0,A,2017-08-21 00:00:01,Lenovo,chrome,Android,,125.25.24.84,False,,0.0,657,,7510.0,0.0
11,IN,121.0,A,2017-08-21 00:00:01,Samsung,chrome,Android,,49.44.51.121,False,,0.0,242,,11991.0,0.0
12,BD,45.0,M,2017-08-21 00:00:01,Samsung,android_webkit,Android,,43.245.123.31,False,,0.0,55,,736.0,0.0
13,TH,-1.0,A,2017-08-21 00:00:01,Generic,chrome,Android,,113.53.179.250,False,,0.0,55,,7510.0,0.0
14,TH,25.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,223.24.49.26,False,,0.0,1203,,5893.0,0.0
15,ES,124.0,,2017-08-21 00:00:01,Apple,iphone,iOS,,31.4.208.104,False,,0.0,38,,7510.0,0.0
16,TH,20.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,182.232.161.93,False,,0.0,1031,,5893.0,0.0
17,IN,1.0,A,2017-08-21 00:00:01,Asus,46.0.2490.76,Android,,106.219.201.254,False,,0.0,127,,815.0,0.0
18,IN,1.0,A,2017-08-21 00:00:01,Intex,chrome,Android,,223.176.52.83,False,,0.0,209,,9149.0,0.0
19,KW,-1.0,M,2017-08-21 00:00:01,Generic,android_webkit,Android,,188.70.34.226,False,,0.0,1203,,10228.0,0.0
20,BR,217.0,A,2017-08-21 00:00:01,Oukitel,chrome,Android,,189.40.105.238,False,,0.0,242,,3312.0,0.0
21,NG,56.0,M,2017-08-21 00:00:01,Samsung,android_webkit,Android,,197.210.227.79,False,,0.0,1203,,4904.0,0.0
22,LK,14.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,175.157.229.49,False,,0.0,242,,1232.0,0.0
23,IN,1.0,M,2017-08-21 00:00:01,Sony,chrome,Android,,106.203.65.180,False,,0.0,209,,9149.0,0.0
